date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:54	1007763/1007763	---M--	200	added ('OK')	image/jpeg	etag:%22f6093-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/vidio-call-bg.jpg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/vidio-call-bg.jpg	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:19:55	265273/265273	---M--	200	added ('OK')	image/png	etag:%2240c39-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/login-email.png	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/login-email.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:19:55	313966/313966	---M--	200	added ('OK')	image/png	etag:%224ca6e-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/signup-email.png	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/signup-email.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:19:55	240759/240759	---M--	200	added ('OK')	image/png	etag:%223ac77-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/otp-bg.png	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/otp-bg.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:19:55	31441/31441	---M--	200	added ('OK')	image/jpeg	etag:%227ad1-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/group-4.jpg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/group-4.jpg	(from https://dreamschat.dreamguystech.com/template-html/template2/group.html)
09:19:56	29682/29682	---M--	200	added ('OK')	image/jpeg	etag:%2273f2-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/group-3.jpg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/group-3.jpg	(from https://dreamschat.dreamguystech.com/template-html/template2/group.html)
09:19:56	21943/21943	---M--	200	added ('OK')	image/jpeg	etag:%2255b7-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/group-1.jpg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/group-1.jpg	(from https://dreamschat.dreamguystech.com/template-html/template2/group.html)
09:19:56	23233/23233	---M--	200	added ('OK')	image/jpeg	etag:%225ac1-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/group-5.jpg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/group-5.jpg	(from https://dreamschat.dreamguystech.com/template-html/template2/group.html)
09:19:56	9931/9931	---M--	200	added ('OK')	image/jpeg	etag:%2226cb-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/avatar/avatar-6.jpg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/avatar/avatar-6.jpg	(from https://dreamschat.dreamguystech.com/template-html/template2/group.html)
09:19:57	29482/29482	---M--	200	added ('OK')	image/jpeg	etag:%22732a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/group-2.jpg	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/img/group-2.jpg	(from https://dreamschat.dreamguystech.com/template-html/template2/group.html)
